RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220E-16
 N =  282541    M =  10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
    0    1     -     -   -     -     -        -     1.955E+00  1.329E+01
    1    2     1     0  ---    0  3.4E-01  1.0E+00  7.802E-01  1.129E+01
    2    3     0     0  con    0  1.0E+00  2.7E+00  4.357E-01  9.085E+00
    3    4     0     0  con    0  1.0E+00  2.1E+00  4.067E-01  8.550E+00
    4    5     0     0  con    0  1.0E+00  6.0E-01  1.520E-01  8.053E+00
    5    6     0     0  con    0  1.0E+00  8.0E-01  1.698E-01  7.684E+00
    6    7     0     0  con    0  1.0E+00  7.7E-01  1.660E-01  7.348E+00
    7    9     0     0  con    1  4.9E-01  1.7E+00  3.072E-01  6.700E+00
    8   13     0     0  con    3  1.7E-01  9.3E-01  3.334E-01  6.321E+00
    9   15     0     0  con    1  7.0E-02  4.0E-01  2.789E-01  6.182E+00
   10   17     0     0  con    1  1.7E-01  2.6E-01  2.108E-01  6.071E+00
   11   19     0     0  con    1  4.8E-01  3.7E-01  4.349E-01  5.999E+00
   12   20     0     0  con    0  1.0E+00  3.6E-01  6.408E-01  5.950E+00
   13   21     0     0  con    0  1.0E+00  2.0E-01  2.122E-01  5.908E+00
   14   22     0     0  con    0  1.0E+00  3.4E-01  2.482E-01  5.847E+00
   15   23     0     0  con    0  1.0E+00  3.9E-01  3.310E-01  5.756E+00
   16   24     0     0  con    0  1.0E+00  1.2E+00  9.688E-01  5.657E+00
   17   25     0     0  con    0  1.0E+00  5.3E-01  4.108E-01  5.511E+00
   18   26     0     0  con    0  1.0E+00  2.1E-01  1.183E-01  5.452E+00
   19   27     0     0  con    0  1.0E+00  1.4E-01  1.373E-01  5.425E+00
   20   28     0     0  con    0  1.0E+00  3.3E-01  3.180E-01  5.373E+00
   21   29     0     0  con    0  1.0E+00  5.5E-01  4.152E-01  5.313E+00
   22   30     0     0  con    0  1.0E+00  4.3E-01  3.582E-01  5.252E+00
   23   31     0     0  con    0  1.0E+00  9.6E-02  1.369E-01  5.215E+00
   24   32     0     0  con    0  1.0E+00  1.3E-01  3.107E-01  5.197E+00
   25   33     0     0  con    0  1.0E+00  1.0E-01  3.143E-01  5.175E+00
   26   34     0     0  con    0  1.0E+00  7.1E-01  5.063E-01  5.111E+00
   27   35     0     0  con    0  1.0E+00  5.3E-01  2.888E-01  5.055E+00
   28   36     0     0  con    0  1.0E+00  5.9E-02  1.250E-01  5.038E+00
   29   37     0     0  con    0  1.0E+00  1.8E-01  1.453E-01  5.015E+00
   30   38     0     0  con    0  1.0E+00  3.2E-01  3.000E-01  4.977E+00
   31   39     0     0  con    0  1.0E+00  1.0E+00  5.911E-01  4.929E+00
   32   40     0     0  con    0  1.0E+00  7.0E-01  2.602E-01  4.865E+00
   33   41     0     0  con    0  1.0E+00  2.1E-01  6.606E-02  4.845E+00
   34   42     0     0  con    0  1.0E+00  2.7E-01  1.569E-01  4.827E+00
   35   43     0     0  con    0  1.0E+00  2.3E-01  1.595E-01  4.813E+00
   36   44     0     0  con    0  1.0E+00  1.7E-01  1.139E-01  4.793E+00
   37   45     0     0  con    0  1.0E+00  6.0E-01  2.586E-01  4.735E+00
   38   46     0     0  con    0  1.0E+00  5.5E-01  3.540E-01  4.691E+00
   39   47     0     0  con    0  1.0E+00  5.7E-01  2.684E-01  4.647E+00
   40   48     0     0  con    0  1.0E+00  6.8E-01  4.442E-01  4.630E+00
   41   49     0     0  con    0  1.0E+00  1.6E-01  1.908E-01  4.612E+00
   42   50     0     0  con    0  1.0E+00  7.8E-02  1.233E-01  4.600E+00
   43   51     0     0  con    0  1.0E+00  3.8E-01  2.113E-01  4.548E+00
   44   52     0     0  con    0  1.0E+00  1.6E+00  9.864E-01  4.523E+00
   45   53     0     0  con    0  1.0E+00  2.6E-01  3.745E-01  4.457E+00
   46   54     0     0  con    0  1.0E+00  1.1E-01  2.738E-01  4.440E+00
   47   55     0     0  con    0  1.0E+00  2.8E-01  2.877E-01  4.413E+00
   48   56     0     0  con    0  1.0E+00  3.1E-01  3.714E-01  4.381E+00
   49   57     0     0  con    0  1.0E+00  7.5E-01  4.278E-01  4.334E+00
   50   58     0     0  con    0  1.0E+00  4.9E-01  5.898E-01  4.302E+00
   51   59     0     0  con    0  1.0E+00  1.2E-01  2.911E-01  4.277E+00
   52   60     0     0  con    0  1.0E+00  1.7E-01  2.290E-01  4.255E+00
   53   61     0     0  con    0  1.0E+00  2.4E-01  3.117E-01  4.221E+00
   54   62     0     0  con    0  1.0E+00  4.6E-01  5.012E-01  4.165E+00
   55   63     0     0  con    0  1.0E+00  9.7E-01  1.051E+00  4.140E+00
   56   64     0     0  con    0  1.0E+00  9.2E-02  2.289E-01  4.073E+00
   57   65     0     0  con    0  1.0E+00  1.4E-01  2.290E-01  4.052E+00
   58   66     0     0  con    0  1.0E+00  1.1E-01  2.735E-01  4.035E+00
   59   67     0     0  con    0  1.0E+00  1.2E-01  3.828E-01  4.021E+00
   60   68     0     0  con    0  1.0E+00  1.8E-01  3.207E-01  3.999E+00
   61   69     0     0  con    0  1.0E+00  2.2E-01  2.181E-01  3.978E+00
   62   70     0     0  con    0  1.0E+00  8.8E-02  1.526E-01  3.966E+00
   63   71     0     0  con    0  1.0E+00  4.8E-02  1.515E-01  3.959E+00
   64   72     0     0  con    0  1.0E+00  1.3E-01  2.333E-01  3.947E+00
   65   73     0     0  con    0  1.0E+00  2.9E-01  4.551E-01  3.932E+00
   66   74     0     0  con    0  1.0E+00  2.0E-01  2.385E-01  3.909E+00
   67   75     0     0  con    0  1.0E+00  7.6E-02  1.651E-01  3.892E+00
   68   76     0     0  con    0  1.0E+00  8.7E-02  1.439E-01  3.881E+00
   69   77     0     0  con    0  1.0E+00  2.1E-02  1.164E-01  3.877E+00
   70   78     0     0  con    0  1.0E+00  8.0E-02  3.307E-01  3.865E+00
   71   79     0     0  con    0  1.0E+00  2.5E-01  6.036E-01  3.842E+00
   72   80     0     0  con    0  1.0E+00  4.3E-01  6.074E-01  3.808E+00
   73   82     0     0  con    1  1.9E-01  1.6E-01  5.785E-01  3.799E+00
   74   83     0     0  con    0  1.0E+00  3.9E-01  3.145E-01  3.772E+00
   75   84     0     0  con    0  1.0E+00  3.0E-01  1.032E-01  3.754E+00
   76   85     0     0  con    0  1.0E+00  1.4E-01  2.753E-01  3.742E+00
   77   86     0     0  con    0  1.0E+00  1.8E-01  4.092E-01  3.719E+00
   78   87     0     0  con    0  1.0E+00  6.0E-01  4.372E-01  3.693E+00
   79   89     0     0  con    1  1.3E-01  7.2E-02  4.364E-01  3.692E+00
   80   90     0     0  con    0  1.0E+00  9.8E-02  2.482E-01  3.677E+00
   81   91     0     0  con    0  1.0E+00  1.1E-01  1.539E-01  3.663E+00
   82   92     0     0  con    0  1.0E+00  9.0E-02  2.546E-01  3.656E+00
   83   93     0     0  con    0  1.0E+00  1.3E-01  3.940E-01  3.636E+00
   84   94     0     0  con    0  1.0E+00  2.4E-01  4.467E-01  3.609E+00
   85   96     0     0  con    1  4.3E-01  2.6E-01  3.107E-01  3.595E+00
   86   97     0     0  con    0  1.0E+00  2.5E-01  1.593E-01  3.573E+00
   87   98     0     0  con    0  1.0E+00  1.7E-01  7.254E-02  3.558E+00
